Name;Data Type;Match
Current_Inverter_Pump;CodesysRO.csv: float | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Current_Month;Borehole.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Current_Year;Borehole.csv: integer | CodesysRO.csv: string | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: string;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
CurrentDay;CodesysRO.csv: string | NewFlow2.csv: string;CodesysRO.csv, NewFlow2.csv
CurrentHour;CodesysRO.csv: string | NewFlow2.csv: string;CodesysRO.csv, NewFlow2.csv
CurrentInverterBooster;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
CurrentInverterFeed;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
CurrentMonth;CodesysRO.csv: string | NewFlow2.csv: string;CodesysRO.csv, NewFlow2.csv
Datum_Backwash_Done;CodesysRO.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
Datum_CIP_Done;CodesysRO.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
DC_Voltage;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
DC_Voltage_Comp;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
DC_Voltage_Evap;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
DC_Voltage_Pump;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Dosing_Pump_Alarm;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
DriveError_Drv1;NewFlow.csv: string | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
DriveError_Drv2;NewFlow.csv: string | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
DriveError_Drv3;NewFlow.csv: string | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
EC_Value;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
Eco;Borehole.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Evap_Motor_Alarm;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Evap_Power;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Evap_Run;Ice_Measures.csv: boolean | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Fan_1_Alarm;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Fan_2_Alarm;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Feed_Kwh;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
Feed_LastRUN;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
Feed_Po;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: float;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Feed_TotalRUN;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
Float_Switch;Ice_Measures.csv: boolean | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Frequency_Drv1;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Frequency_Drv2;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Frequency_Drv3;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Frequency_Inverter_Comp;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Frequency_Inverter_Evap;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
